instruction,cqa family
EXTRACTPS,FM_MERGE
INSERTPS,FM_MERGE
KUNPCKBW,FM_MERGE
KUNPCKDQ,FM_MERGE
KUNPCKWD,FM_MERGE
PALIGNR,FM_MERGE
PBLENDVB,FM_MERGE
PBLENDW,FM_MERGE
PEXTRB,FM_MERGE
PEXTRD,FM_MERGE
PEXTRQ,FM_MERGE
PEXTRW,FM_MERGE
PINSRB,FM_MERGE
PINSRD,FM_MERGE
PINSRQ,FM_MERGE
PUNPCKHBW,FM_MERGE
PUNPCKHDQ,FM_MERGE
PUNPCKHQDQ,FM_MERGE
PUNPCKLBW,FM_MERGE
PUNPCKLDQ,FM_MERGE
PUNPCKLQDQ,FM_MERGE
PUNPCKLWD,FM_MERGE
UNPCKHPD,FM_MERGE
UNPCKHPS,FM_MERGE
UNPCKLPD,FM_MERGE
UNPCKLPS,FM_MERGE
VALIGND,FM_MERGE
VALIGNQ,FM_MERGE
VBLENDMPD,FM_MERGE
VBLENDMPS,FM_MERGE
VBLENDPD,FM_MERGE
VBLENDPS,FM_MERGE
VBLENDVPD,FM_MERGE
VBLENDVPS,FM_MERGE
VCOMPRESSPD,FM_MERGE
VCOMPRESSPS,FM_MERGE
VEXPANDPD,FM_MERGE
VEXPANDPS,FM_MERGE
VEXTRACTF128,FM_MERGE
VEXTRACTF32X4,FM_MERGE
VEXTRACTF32X8,FM_MERGE
VEXTRACTF64X2,FM_MERGE
VEXTRACTF64X4,FM_MERGE
VEXTRACTI128,FM_MERGE
VEXTRACTI32X8,FM_MERGE
VEXTRACTI64X2,FM_MERGE
VEXTRACTI64X4,FM_MERGE
VEXTRACTPS,FM_MERGE
VINSERTF128,FM_MERGE
VINSERTF32X4,FM_MERGE
VINSERTF32X8,FM_MERGE
VINSERTF64X4,FM_MERGE
VINSERTI128,FM_MERGE
VINSERTI32X4,FM_MERGE
VINSERTI32X8,FM_MERGE
VINSERTI64X2,FM_MERGE
VINSERTI64X4,FM_MERGE
VINSERTPS,FM_MERGE
VPALIGNR,FM_MERGE
VPBLENDD,FM_MERGE
VPBLENDMB,FM_MERGE
VPBLENDMD,FM_MERGE
VPBLENDMQ,FM_MERGE
VPBLENDVB,FM_MERGE
VPBLENDW,FM_MERGE
VPCOMPRESSD,FM_MERGE
VPCOMPRESSQ,FM_MERGE
VPEXPANDQ,FM_MERGE
VPEXTRB,FM_MERGE
VPEXTRD,FM_MERGE
VPEXTRQ,FM_MERGE
VPEXTRW,FM_MERGE
VPINSRB,FM_MERGE
VPINSRD,FM_MERGE
VPINSRQ,FM_MERGE
VPUNPCKHBW,FM_MERGE
VPUNPCKHDQ,FM_MERGE
VPUNPCKHQDQ,FM_MERGE
VPUNPCKHWD,FM_MERGE
VPUNPCKLBW,FM_MERGE
VPUNPCKLDQ,FM_MERGE
VPUNPCKLQDQ,FM_MERGE
VPUNPCKLWD,FM_MERGE
VUNPCKHPD,FM_MERGE
VUNPCKHPS,FM_MERGE
VUNPCKLPD,FM_MERGE
VUNPCKLPS,FM_MERGE
FXTRACT,FM_MERGE
PINSRW,FM_MERGE
PUNPCKHWD,FM_MERGE
VEXTRACTI32X4,FM_MERGE
VINSERTF64X2,FM_MERGE
VPBLENDMW,FM_MERGE
VPEXPANDD,FM_MERGE
VPINSRW,FM_MERGE
MINPS,FM_MIN
MINSD,FM_MIN
MINSS,FM_MIN
PFMIN,FM_MIN
PHMINPOSUW,FM_MIN
PMINSB,FM_MIN
PMINSW,FM_MIN
PMINUB,FM_MIN
PMINUD,FM_MIN
PMINUW,FM_MIN
VMINPS,FM_MIN
VMINSD,FM_MIN
VMINSS,FM_MIN
VPHMINPOSUW,FM_MIN
VPMINSB,FM_MIN
VPMINSD,FM_MIN
VPMINSQ,FM_MIN
VPMINSW,FM_MIN
VPMINUB,FM_MIN
VPMINUQ,FM_MIN
VPMINUW,FM_MIN
MINPD,FM_MIN
PMINSD,FM_MIN
VMINPD,FM_MIN
VPMINUD,FM_MIN
MASKMOVDQU,FM_MMOV
MASKMOVQ,FM_MMOV
VMASKMOVPD,FM_MMOV
VMASKMOVPS,FM_MMOV
VPMASKMOVD,FM_MMOV
VPMASKMOVQ,FM_MMOV
VMASKMOVDQU,FM_MMOV
FSTP,FM_MOV
KMOVB,FM_MOV
KMOVQ,FM_MOV
KMOVW,FM_MOV
LODS,FM_MOV
MOV,FM_MOV
MOVAPD,FM_MOV
MOVAPS,FM_MOV
MOVD,FM_MOV
MOVDQ2Q,FM_MOV
MOVDQA,FM_MOV
MOVDQU,FM_MOV
MOVHLPS,FM_MOV
MOVHPD,FM_MOV
MOVHPS,FM_MOV
MOVLHPS,FM_MOV
MOVLPD,FM_MOV
MOVLPS,FM_MOV
MOVNTDQ,FM_MOV
MOVNTDQA,FM_MOV
MOVNTI,FM_MOV
MOVNTPD,FM_MOV
MOVNTPS,FM_MOV
MOVNTQ,FM_MOV
MOVQ,FM_MOV
MOVQ2DQ,FM_MOV
MOVSD,FM_MOV
MOVSHDUP,FM_MOV
MOVSLDUP,FM_MOV
MOVSS,FM_MOV
MOVSX,FM_MOV
MOVSXD,FM_MOV
MOVUPD,FM_MOV
MOVUPS,FM_MOV
MOVZX,FM_MOV
PMOVSXBD,FM_MOV
PMOVSXBQ,FM_MOV
PMOVSXBW,FM_MOV
PMOVSXDQ,FM_MOV
PMOVSXWQ,FM_MOV
PMOVZXBD,FM_MOV
PMOVZXBQ,FM_MOV
PMOVZXBW,FM_MOV
PMOVZXDQ,FM_MOV
PMOVZXWD,FM_MOV
PMOVZXWQ,FM_MOV
REP_LODS,FM_MOV
REP_STOS,FM_MOV
STOS,FM_MOV
VLDDQU,FM_MOV
VMOVAPD,FM_MOV
VMOVAPS,FM_MOV
VMOVD,FM_MOV
VMOVDDUP,FM_MOV
VMOVDQA,FM_MOV
VMOVDQA64,FM_MOV
VMOVDQU,FM_MOV
VMOVDQU16,FM_MOV
VMOVDQU32,FM_MOV
VMOVDQU64,FM_MOV
VMOVDQU8,FM_MOV
VMOVHLPS,FM_MOV
VMOVHPD,FM_MOV
VMOVHPS,FM_MOV
VMOVLPD,FM_MOV
VMOVLPS,FM_MOV
VMOVNTDQ,FM_MOV
VMOVNTDQA,FM_MOV
VMOVNTPD,FM_MOV
VMOVNTPS,FM_MOV
VMOVQ,FM_MOV
VMOVSHDUP,FM_MOV
VMOVSLDUP,FM_MOV
VMOVSS,FM_MOV
VMOVUPD,FM_MOV
VMOVUPS,FM_MOV
VPMOVSXBD,FM_MOV
VPMOVSXBQ,FM_MOV
VPMOVSXBW,FM_MOV
VPMOVSXDQ,FM_MOV
VPMOVSXWD,FM_MOV
VPMOVSXWQ,FM_MOV
VPMOVZXBD,FM_MOV
VPMOVZXBQ,FM_MOV
VPMOVZXBW,FM_MOV
VPMOVZXDQ,FM_MOV
VPMOVZXWQ,FM_MOV
FST,FM_MOV
KMOVD,FM_MOV
MOVDDUP,FM_MOV
MOVS,FM_MOV
PMOVSXWD,FM_MOV
REP_MOVS,FM_MOV
VMOVDQA32,FM_MOV
VMOVLHPS,FM_MOV
VMOVSD,FM_MOV
VPMOVZXWD,FM_MOV
FIMUL,FM_MUL
FMULP,FM_MUL
MUL,FM_MUL
MULPD,FM_MUL
MULPS,FM_MUL
MULSD,FM_MUL
MULSS,FM_MUL
MULX,FM_MUL
PFMUL,FM_MUL
PMULDQ,FM_MUL
PMULHRSW,FM_MUL
PMULHUW,FM_MUL
PMULHW,FM_MUL
PMULLD,FM_MUL
PMULLW,FM_MUL
PMULUDQ,FM_MUL
VMULPD,FM_MUL
VMULPS,FM_MUL
VMULSD,FM_MUL
VMULSS,FM_MUL
VPCLMULQDQ,FM_MUL
VPMULDQ,FM_MUL
VPMULHRSW,FM_MUL
VPMULHUW,FM_MUL
VPMULHW,FM_MUL
VPMULLD,FM_MUL
VPMULLQ,FM_MUL
VPMULLW,FM_MUL
VPMULUDQ,FM_MUL
FMUL,FM_MUL
IMUL,FM_MUL
PCLMULQDQ,FM_MUL
PMULHRW,FM_MUL
FCHS,FM_NEG
NEG,FM_NEG
PSIGNB,FM_NEG
PSIGND,FM_NEG
PSIGNW,FM_NEG
VPSIGND,FM_NEG
VPSIGNW,FM_NEG
VPSIGNB,FM_NEG
FNOP,FM_NOP
NOP,FM_NOP
KNOTB,FM_NOT
KNOTD,FM_NOT
KNOTQ,FM_NOT
KNOTW,FM_NOT
NOT,FM_NOT
KORB,FM_OR
KORD,FM_OR
KORQ,FM_OR
KORW,FM_OR
KXNORD,FM_OR
KXNORQ,FM_OR
KXNORW,FM_OR
KXORB,FM_OR
KXORD,FM_OR
KXORQ,FM_OR
KXORW,FM_OR
OR,FM_OR
ORPD,FM_OR
ORPS,FM_OR
VORPD,FM_OR
VORPS,FM_OR
VPORD,FM_OR
VPORQ,FM_OR
KXNORB,FM_OR
POR,FM_OR
VPOR,FM_OR
CLI,FM_OS
CLTS,FM_OS
GETSEC,FM_OS
HLT,FM_OS
INT,FM_OS
IRET,FM_OS
IRETL,FM_OS
IRETQ,FM_OS
RDPKRU,FM_OS
RSM,FM_OS
STI,FM_OS
SYSCALL,FM_OS
SYSENTER,FM_OS
SYSEXIT,FM_OS
SYSRET,FM_OS
WRPKRU,FM_OS
DPPD,FM_OTHER_ARITH
DPPS,FM_OTHER_ARITH
F2XM1,FM_OTHER_ARITH
FSCALE,FM_OTHER_ARITH
PMADDUBSW,FM_OTHER_ARITH
PMADDWD,FM_OTHER_ARITH
VDPPD,FM_OTHER_ARITH
VDPPS,FM_OTHER_ARITH
VEXP2PS,FM_OTHER_ARITH
VFIXUPIMMPD,FM_OTHER_ARITH
VFIXUPIMMPS,FM_OTHER_ARITH
VFIXUPIMMSD,FM_OTHER_ARITH
VFIXUPIMMSS,FM_OTHER_ARITH
VSCALEFPD,FM_OTHER_ARITH
VSCALEFPS,FM_OTHER_ARITH
VSCALEFSS,FM_OTHER_ARITH
VEXP2PD,FM_OTHER_ARITH
VSCALEFSD,FM_OTHER_ARITH
PDEP,FM_OTHER_LOGIC
PEXT,FM_OTHER_LOGIC
FSINCOS,FM_OTHER_MATH
FYL2X,FM_OTHER_MATH
FYL2XP1,FM_OTHER_MATH
OUT,FM_OUT
OUTS,FM_OUT
REP_OUTS,FM_OUT
POP,FM_POP
POPFQ,FM_POP
POPFW,FM_POP
PREFETCHNTA,FM_PREFETCH
PREFETCHT0,FM_PREFETCH
PREFETCHT1,FM_PREFETCH
PREFETCHT2,FM_PREFETCH
PREFETCHW,FM_PREFETCH
PREFETCHWT1,FM_PREFETCH
VGATHERPF0DPD,FM_PREFETCH
VGATHERPF0DPS,FM_PREFETCH
VGATHERPF0QPD,FM_PREFETCH
VGATHERPF0QPS,FM_PREFETCH
VGATHERPF1DPD,FM_PREFETCH
VGATHERPF1QPD,FM_PREFETCH
VGATHERPF1QPS,FM_PREFETCH
VSCATTERPF0DPD,FM_PREFETCH
VSCATTERPF0DPS,FM_PREFETCH
VSCATTERPF0QPD,FM_PREFETCH
VSCATTERPF0QPS,FM_PREFETCH
VSCATTERPF1DPD,FM_PREFETCH
VSCATTERPF1DPS,FM_PREFETCH
VSCATTERPF1QPS,FM_PREFETCH
VGATHERPF1DPS,FM_PREFETCH
VSCATTERPF1QPD,FM_PREFETCH
FLD1,FM_PUSH
FLDL2E,FM_PUSH
FLDL2T,FM_PUSH
FLDLG2,FM_PUSH
FLDLN2,FM_PUSH
FLDPI,FM_PUSH
FLDZ,FM_PUSH
PUSH,FM_PUSH
PUSHFQ,FM_PUSH
PUSHFW,FM_PUSH
PUSHW,FM_PUSH
FLD,FM_PUSH
RDRAND,FM_RAND
PFRCP,FM_RCP
PFRCPIT1,FM_RCP
PFRCPIT2,FM_RCP
RCPPS,FM_RCP
RCPSS,FM_RCP
VRCP14PD,FM_RCP
VRCP14PS,FM_RCP
VRCP14SD,FM_RCP
VRCP28PD,FM_RCP
VRCP28PS,FM_RCP
VRCP28SD,FM_RCP
VRCP28SS,FM_RCP
VRCPPS,FM_RCP
VRCPSS,FM_RCP
VRCP14SS,FM_RCP
FPREM1,FM_REM
FPREM,FM_REM
LRET,FM_RET
RET,FM_RET
FRNDINT,FM_RND
ROUNDPD,FM_RND
ROUNDPS,FM_RND
ROUNDSD,FM_RND
VRNDSCALEPS,FM_RND
VRNDSCALESD,FM_RND
VRNDSCALESS,FM_RND
VROUNDPD,FM_RND
VROUNDPS,FM_RND
VROUNDSD,FM_RND
VROUNDSS,FM_RND
ROUNDSS,FM_RND
VRNDSCALEPD,FM_RND
RCR,FM_ROT
ROL,FM_ROT
ROR,FM_ROT
RORX,FM_ROT
VPROLD,FM_ROT
VPROLQ,FM_ROT
VPROLVD,FM_ROT
VPROLVQ,FM_ROT
VPRORD,FM_ROT
VPRORQ,FM_ROT
VPRORVD,FM_ROT
RCL,FM_ROT
VPRORVQ,FM_ROT
PFRSQIT1,FM_RSQRT
PFRSQRT,FM_RSQRT
RSQRTPS,FM_RSQRT
RSQRTSS,FM_RSQRT
VRSQRT14PD,FM_RSQRT
VRSQRT14PS,FM_RSQRT
VRSQRT14SS,FM_RSQRT
VRSQRT28PD,FM_RSQRT
VRSQRT28PS,FM_RSQRT
VRSQRT28SD,FM_RSQRT
VRSQRT28SS,FM_RSQRT
VRSQRTPS,FM_RSQRT
VRSQRTSS,FM_RSQRT
VRSQRT14SD,FM_RSQRT
BSF,FM_SCAN
BSR,FM_SCAN
VPSCATTERDD,FM_SCATTER
VPSCATTERDQ,FM_SCATTER
VPSCATTERQD,FM_SCATTER
VPSCATTERQQ,FM_SCATTER
VSCATTERDPD,FM_SCATTER
VSCATTERDPS,FM_SCATTER
VSCATTERQPD,FM_SCATTER
VSCATTERQPS,FM_SCATTER
BLSMSK,FM_SET
EMMS,FM_SET
SETA,FM_SET
SETB,FM_SET
SETBE,FM_SET
SETC,FM_SET
SETE,FM_SET
SETG,FM_SET
SETGE,FM_SET
SETL,FM_SET
SETLE,FM_SET
SETNA,FM_SET
SETNB,FM_SET
SETNBE,FM_SET
SETNC,FM_SET
SETNE,FM_SET
SETNG,FM_SET
SETNGE,FM_SET
SETNL,FM_SET
SETNLE,FM_SET
SETNO,FM_SET
SETNS,FM_SET
SETNZ,FM_SET
SETO,FM_SET
SETP,FM_SET
SETPE,FM_SET
SETPO,FM_SET
SETS,FM_SET
SETZ,FM_SET
SETAE,FM_SET
SETNAE,FM_SET
SETNP,FM_SET
KSHIFTLB,FM_SHIFT
KSHIFTLD,FM_SHIFT
KSHIFTLQ,FM_SHIFT
KSHIFTLW,FM_SHIFT
KSHIFTRB,FM_SHIFT
KSHIFTRQ,FM_SHIFT
KSHIFTRW,FM_SHIFT
PSLLD,FM_SHIFT
PSLLDQ,FM_SHIFT
PSLLQ,FM_SHIFT
PSLLW,FM_SHIFT
PSRAW,FM_SHIFT
PSRLD,FM_SHIFT
PSRLDQ,FM_SHIFT
PSRLQ,FM_SHIFT
PSRLW,FM_SHIFT
SAL,FM_SHIFT
SAR,FM_SHIFT
SARX,FM_SHIFT
SHL,FM_SHIFT
SHLD,FM_SHIFT
SHR,FM_SHIFT
SHRD,FM_SHIFT
SHRX,FM_SHIFT
VPSLLD,FM_SHIFT
VPSLLDQ,FM_SHIFT
VPSLLQ,FM_SHIFT
VPSLLVD,FM_SHIFT
VPSLLVQ,FM_SHIFT
VPSLLVW,FM_SHIFT
VPSLLW,FM_SHIFT
VPSRAQ,FM_SHIFT
VPSRAVD,FM_SHIFT
VPSRAVQ,FM_SHIFT
VPSRAVW,FM_SHIFT
VPSRAW,FM_SHIFT
VPSRLD,FM_SHIFT
VPSRLDQ,FM_SHIFT
VPSRLQ,FM_SHIFT
VPSRLVD,FM_SHIFT
VPSRLVW,FM_SHIFT
VPSRLW,FM_SHIFT
KSHIFTRD,FM_SHIFT
PSRAD,FM_SHIFT
SHLX,FM_SHIFT
VPSRAD,FM_SHIFT
VPSRLVQ,FM_SHIFT
PSHUFB,FM_SHUFFLE
PSHUFD,FM_SHUFFLE
PSHUFLW,FM_SHUFFLE
PSHUFW,FM_SHUFFLE
PSWAPD,FM_SHUFFLE
SHUFPD,FM_SHUFFLE
SHUFPS,FM_SHUFFLE
VPERM2F128,FM_SHUFFLE
VPERM2I128,FM_SHUFFLE
VPERMD,FM_SHUFFLE
VPERMI2D,FM_SHUFFLE
VPERMI2PD,FM_SHUFFLE
VPERMI2PS,FM_SHUFFLE
VPERMI2Q,FM_SHUFFLE
VPERMI2W,FM_SHUFFLE
VPERMILPD,FM_SHUFFLE
VPERMPD,FM_SHUFFLE
VPERMPS,FM_SHUFFLE
VPERMQ,FM_SHUFFLE
VPERMT2D,FM_SHUFFLE
VPERMT2PD,FM_SHUFFLE
VPERMT2PS,FM_SHUFFLE
VPERMT2Q,FM_SHUFFLE
VPERMT2W,FM_SHUFFLE
VPERMW,FM_SHUFFLE
VPSHUFB,FM_SHUFFLE
VPSHUFD,FM_SHUFFLE
VPSHUFHW,FM_SHUFFLE
VPSHUFLW,FM_SHUFFLE
VSHUFF32X4,FM_SHUFFLE
VSHUFF64X2,FM_SHUFFLE
VSHUFI32X4,FM_SHUFFLE
VSHUFI64X2,FM_SHUFFLE
VSHUFPD,FM_SHUFFLE
VSHUFPS,FM_SHUFFLE
PSHUFHW,FM_SHUFFLE
VPERMILPS,FM_SHUFFLE
FSIN,FM_SIN
FSQRT,FM_SQRT
SQRTPD,FM_SQRT
SQRTSD,FM_SQRT
SQRTSS,FM_SQRT
VSQRTPS,FM_SQRT
VSQRTSD,FM_SQRT
VSQRTSS,FM_SQRT
SQRTPS,FM_SQRT
VSQRTPD,FM_SQRT
ENTER,FM_STACK_INIT
LEAVE,FM_STACK_RELEASE
FDECSTP,FM_STACK_ROT
FINCSTP,FM_STACK_ROT
FISUB,FM_SUB
FISUBR,FM_SUB
FSUB,FM_SUB
FSUBP,FM_SUB
FSUBR,FM_SUB
FSUBRP,FM_SUB
HSUBPD,FM_SUB
HSUBPS,FM_SUB
PFNACC,FM_SUB
PFSUB,FM_SUB
PFSUBR,FM_SUB
PHSUBD,FM_SUB
PHSUBSW,FM_SUB
PHSUBW,FM_SUB
PSUBB,FM_SUB
PSUBD,FM_SUB
PSUBQ,FM_SUB
PSUBSB,FM_SUB
PSUBUSB,FM_SUB
PSUBUSW,FM_SUB
PSUBW,FM_SUB
SBB,FM_SUB
SUBPD,FM_SUB
SUBPS,FM_SUB
SUBSD,FM_SUB
SUBSS,FM_SUB
VHSUBPD,FM_SUB
VHSUBPS,FM_SUB
VPHSUBD,FM_SUB
VPHSUBSW,FM_SUB
VPHSUBW,FM_SUB
VPSUBB,FM_SUB
VPSUBD,FM_SUB
VPSUBQ,FM_SUB
VPSUBSB,FM_SUB
VPSUBSW,FM_SUB
VPSUBUSB,FM_SUB
VPSUBUSW,FM_SUB
VSUBPD,FM_SUB
VSUBPS,FM_SUB
VSUBSD,FM_SUB
VSUBSS,FM_SUB
PFPNACC,FM_SUB
PSUBSW,FM_SUB
SUB,FM_SUB
VPSUBW,FM_SUB
MONITOR,FM_SYNC
MWAIT,FM_SYNC
FPTAN,FM_TAN
XABORT,FM_TM
XBEGIN,FM_TM
XEND,FM_TM
XTEST,FM_TM
BNDCN,FM_UNDEF
BNDCU,FM_UNDEF
BNDLDX,FM_UNDEF
BNDMK,FM_UNDEF
BNDMOV,FM_UNDEF
BNDSTX,FM_UNDEF
CLWB,FM_UNDEF
FXAM,FM_UNDEF
RDPID,FM_UNDEF
SHA1MSG1,FM_UNDEF
SHA1MSG2,FM_UNDEF
SHA1NEXTE,FM_UNDEF
SHA1RNDS4,FM_UNDEF
SHA256MSG1,FM_UNDEF
SHA256MSG2,FM_UNDEF
SHA256RNDS2,FM_UNDEF
UD2,FM_UNDEF
VFPCLASSPD,FM_UNDEF
VFPCLASSSD,FM_UNDEF
VFPCLASSSS,FM_UNDEF
VPCONFLICTD,FM_UNDEF
VPTERNLOGD,FM_UNDEF
VPTERNLOGQ,FM_UNDEF
VRANGEPD,FM_UNDEF
VRANGEPS,FM_UNDEF
VRANGESD,FM_UNDEF
VRANGESS,FM_UNDEF
VREDUCEPD,FM_UNDEF
VREDUCEPS,FM_UNDEF
VREDUCESS,FM_UNDEF
BNDCL,FM_UNDEF
VFPCLASSPS,FM_UNDEF
VPCONFLICTQ,FM_UNDEF
VMCALL,FM_VIRT
VMCLEAR,FM_VIRT
VMFUNC,FM_VIRT
VMLAUNCH,FM_VIRT
VMPTRLD,FM_VIRT
VMPTRST,FM_VIRT
VMREAD,FM_VIRT
VMWRITE,FM_VIRT
VMXOFF,FM_VIRT
VMXON,FM_VIRT
VMRESUME,FM_VIRT
FXCH,FM_XCHG
XCHG,FM_XCHG
PXOR,FM_XOR
VPXORD,FM_XOR
VPXORQ,FM_XOR
VXORPD,FM_XOR
VXORPS,FM_XOR
XOR,FM_XOR
XORPD,FM_XOR
XORPS,FM_XOR
VPXOR,FM_XOR
